,date,account_value
307,2022-12-20,912438.0961397935
308,2022-12-21,923878.8543185045
309,2022-12-22,912438.2166460801
310,2022-12-23,917829.9241884996
311,2022-12-27,914001.1629046251
312,2022-12-28,904183.5439547349
313,2022-12-29,916251.2018374254
314,2022-12-30,912602.0967501451
315,2023-01-03,908313.1695650865
316,2023-01-04,915967.8656710435
317,2023-01-05,907057.407953148
318,2023-01-06,930013.9666079332
319,2023-01-09,927251.1093844224
320,2023-01-10,931600.3808077623
321,2023-01-11,942856.4609164048
322,2023-01-12,939420.3836611558
323,2023-01-13,945802.0412844468
324,2023-01-17,946454.5343722154
325,2023-01-18,926666.5124453355
326,2023-01-19,914910.6527804185
327,2023-01-20,928779.869394188
328,2023-01-23,936951.8032473375
329,2023-01-24,938568.793084984
330,2023-01-25,942006.2392824937
331,2023-01-26,948954.2623080064
332,2023-01-27,957401.3744753648
333,2023-01-30,950411.8619936754
334,2023-01-31,966012.6658724595
335,2023-02-01,978670.8595370103
336,2023-02-02,988219.169458275
337,2023-02-03,971644.6911715318
338,2023-02-06,971609.645654564
339,2023-02-07,970497.1880587388
340,2023-02-08,962675.2271670152
341,2023-02-09,959587.8662203599
342,2023-02-10,958957.7836397935
343,2023-02-13,971331.2376803209
344,2023-02-14,972082.1102236558
345,2023-02-15,978444.6184023668
346,2023-02-16,964573.8005770494
347,2023-02-17,971246.8008364488
348,2023-02-21,954077.0954226304
349,2023-02-22,955544.283243065
350,2023-02-23,954551.2271212388
351,2023-02-24,944165.6065157701
352,2023-02-27,948987.5670870591
353,2023-02-28,944483.7590426255
354,2023-03-01,935239.1899203111
355,2023-03-02,940650.1091860582
356,2023-03-03,950383.1976107408
357,2023-03-06,948478.3239535142
358,2023-03-07,937449.6861056138
359,2023-03-08,937503.7806338121
360,2023-03-09,922501.5416659166
361,2023-03-10,915847.7222536851
362,2023-03-13,919245.4661043931
363,2023-03-14,930902.7367037584
364,2023-03-15,933558.8902682115
365,2023-03-16,941589.1366976548
366,2023-03-17,932344.5212038804
367,2023-03-20,941195.5099276353
368,2023-03-21,952631.8600252916
369,2023-03-22,938091.1876009752
370,2023-03-23,935666.0674532701
371,2023-03-24,942855.0370425035
372,2023-03-27,946478.637918358
373,2023-03-28,946877.7067660142
374,2023-03-29,957921.0051821519
375,2023-03-30,963219.9963320543
376,2023-03-31,979239.6475619127
377,2023-04-03,977828.6526583482
378,2023-04-04,976045.3636416246
