,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,Close,High,High,High,High,High,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume
,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA,AAPL,AMZN,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-12,28.526832580566406,18.85849952697754,27.300500869750977,37.514347076416016,13.525333404541016,31.614999771118164,18.85849952697754,27.300500869750977,43.09000015258789,13.525333404541016,31.8700008392334,18.925500869750977,27.41699981689453,43.09000015258789,13.53933334350586,31.392499923706055,18.657499313354492,26.850000381469727,42.5099983215332,12.885333061218262,31.514999389648438,18.7549991607666,26.982999801635742,42.65999984741211,12.904666900634766,297898000,55822000,48590000,33268800,234744000
2015-02-13,28.66669273376465,19.09149932861328,27.558000564575195,38.193416595458984,13.584667205810547,31.770000457763672,19.09149932861328,27.558000564575195,43.869998931884766,13.584667205810547,31.81999969482422,19.149999618530273,27.62700080871582,43.869998931884766,13.732666969299316,31.412500381469727,18.850500106811523,27.329999923706055,43.150001525878906,13.394000053405762,31.81999969482422,18.920499801635742,27.375499725341797,43.380001068115234,13.526666641235352,217088800,69502000,47382000,40264900,92865000
2015-02-17,28.83587646484375,18.771499633789062,27.250499725341797,38.2109489440918,13.623332977294922,31.957500457763672,18.771499633789062,27.250499725341797,43.58000183105469,13.623332977294922,32.220001220703125,18.999500274658203,27.649999618530273,44.0,13.713333129882812,31.729999542236328,18.633499145507812,27.163000106811523,43.189998626708984,13.433333396911621,31.872499465942383,18.88599967956543,27.558000564575195,43.970001220703125,13.713333129882812,252609600,73464000,39174000,33695700,59694000
2015-02-18,29.036643981933594,18.668500900268555,27.13249969482422,38.167110443115234,13.630666732788086,32.18000030517578,18.668500900268555,27.13249969482422,43.529998779296875,13.630666732788086,32.19499969482422,18.836999893188477,27.377500534057617,43.70000076293945,13.744667053222656,31.862499237060547,18.642499923706055,26.977500915527344,43.38999938964844,13.506667137145996,31.907499313354492,18.68899917602539,27.19099998474121,43.630001068115234,13.611332893371582,179566800,53012000,31164000,27111700,40704000
2015-02-19,28.975732803344727,18.950000762939453,27.322500228881836,38.140811920166016,14.11400032043457,32.11249923706055,18.950000762939453,27.322500228881836,43.5,14.11400032043457,32.25749969482422,19.0939998626709,27.343000411987305,43.529998779296875,14.162667274475098,32.08250045776367,18.671499252319336,27.037500381469727,43.04999923706055,13.583333015441895,32.119998931884766,18.67449951171875,27.12350082397461,43.18000030517578,13.666666984558105,149449600,59076000,30834000,27603400,77311500
2015-02-20,29.212596893310547,19.183000564575195,27.09000015258789,38.45644760131836,14.473999977111816,32.375,19.183000564575195,27.09000015258789,43.86000061035156,14.473999977111816,32.375,19.184999465942383,27.378999710083008,43.880001068115234,14.506667137145996,32.01250076293945,18.79199981689453,26.905000686645508,43.290000915527344,13.987333297729492,32.154998779296875,18.930999755859375,27.378999710083008,43.5099983215332,14.052000045776367,195793600,65160000,38234000,29721100,89731500
2015-02-23,30.002126693725586,19.006999969482422,26.75,38.710731506347656,13.822667121887207,33.25,19.006999969482422,26.75,44.150001525878906,13.822667121887207,33.25,19.226999282836914,26.96500015258789,44.189998626708984,14.546667098999023,32.415000915527344,18.899999618530273,26.600000381469727,43.650001525878906,13.755332946777344,32.505001068115234,19.172000885009766,26.950000762939453,43.70000076293945,14.37733268737793,283896400,43540000,32906000,32518800,127497000
2015-02-24,29.814891815185547,18.929500579833984,26.9325008392334,38.65812683105469,13.607333183288574,33.04249954223633,18.929500579833984,26.9325008392334,44.09000015258789,13.607333183288574,33.400001525878906,19.02400016784668,26.969999313354492,44.29999923706055,13.81933307647705,32.79249954223633,18.808000564575195,26.549999237060547,43.91999816894531,13.446666717529297,33.23500061035156,18.9325008392334,26.577499389648438,44.150001525878906,13.81933307647705,276912400,38416000,28406000,25271700,99054000
2015-02-25,29.05242919921875,19.26849937438965,27.366500854492188,38.5704460144043,13.583999633789062,32.1974983215332,19.26849937438965,27.366500854492188,43.9900016784668,13.583999633789062,32.900001525878906,19.392499923706055,27.478500366210938,44.09000015258789,13.809332847595215,32.037498474121094,18.82699966430664,26.90049934387207,43.79999923706055,13.505332946777344,32.88999938964844,18.863500595092773,26.922000885009766,43.95000076293945,13.662667274475098,298846800,63490000,40836000,29759800,58642500
2015-02-26,29.420120239257812,19.239999771118164,27.964500427246094,38.631813049316406,13.812666893005371,32.60499954223633,19.239999771118164,27.964500427246094,44.060001373291016,13.812666893005371,32.717498779296875,19.4685001373291,28.006500244140625,44.22999954223633,14.072667121887207,31.65250015258789,19.163999557495117,27.254499435424805,43.88999938964844,13.481332778930664,32.1974983215332,19.203500747680664,27.28700065612793,43.9900016784668,13.600000381469727,365150000,53742000,54032000,28957300,97093500
