time/total_timesteps,train/learning_rate,train/value_loss,train/n_updates,train/reward,train/entropy_loss,train/std,train/explained_variance,time/fps,time/time_elapsed,train/policy_loss,time/iterations
32500,0.0007,5.303942680358887,6499,-1.7970338,-13.096341133117676,1.0388197898864746,0.0218050479888916,137,236,-30.63895034790039,6500
33000,0.0007,1.925510048866272,6599,-0.26491547,-13.110669136047363,1.040824294090271,0.0,137,240,10.167379379272461,6600
33500,0.0007,11.277078628540039,6699,1.2234745,-13.106925964355469,1.0409021377563477,-0.000202178955078125,137,243,-22.80208969116211,6700
34000,0.0007,4.3303446769714355,6799,0.694403,-13.114889144897461,1.04158353805542,0.0025684237480163574,137,247,-20.44275665283203,6800
34500,0.0007,1.2328349351882935,6899,1.6437802,-13.149264335632324,1.045964002609253,0.0,137,250,-1.0444831848144531,6900
35000,0.0007,15.164896011352539,6999,3.1692429,-13.124244689941406,1.042890191078186,0.057258546352386475,137,255,29.780447006225586,7000
35500,0.0007,1.2659302949905396,7099,-0.7703867,-13.142407417297363,1.0449219942092896,1.1920928955078125e-07,137,258,12.1454439163208,7100
36000,0.0007,7.871611595153809,7199,-0.33864102,-13.152058601379395,1.0459332466125488,0.00359952449798584,137,261,26.15363121032715,7200
36500,0.0007,5.383173942565918,7299,3.7100813,-13.175692558288574,1.0487538576126099,0.0,137,264,-27.02713966369629,7300
37000,0.0007,21.730175018310547,7399,-1.538076,-13.209800720214844,1.0530861616134644,0.001742243766784668,137,269,-55.790992736816406,7400
37500,0.0007,4.428447246551514,7499,0.27678224,-13.190362930297852,1.0504510402679443,-0.0005074739456176758,137,273,-26.833118438720703,7500
38000,0.0007,6.956277370452881,7599,-0.56558657,-13.206201553344727,1.052306056022644,-0.0010323524475097656,137,276,-25.44256591796875,7600
38500,0.0007,16.37380599975586,7699,0.35308242,-13.235928535461426,1.0560598373413086,-0.060758233070373535,137,279,-48.52705001831055,7700
39000,0.0007,0.08364006131887436,7799,-0.09307601,-13.222747802734375,1.054636001586914,0.0,137,283,2.4146974086761475,7800
39500,0.0007,1.1827058792114258,7899,0.1958485,-13.237588882446289,1.0568604469299316,0.0,137,287,-5.708656311035156,7900
